,time [s],altitude [m],ground_distance [m],mass [kg],true_airspeed [m/s],equivalent_airspeed [m/s],mach [-],engine_setting,CL [-],CD [-],lift [N],drag [N],thrust [N],thrust_rate [-],thrust_is_regulated,sfc [kg/N/s],slope_angle [rad],acceleration [m/s**2],alpha [rad],slope_angle_derivative [rad/s],name
1192,21190.84363021234,681.5477214777643,4631262.438705471,63160.40873218238,132.92200414041133,128.61111111111114,0.39364556080973506,2,0.49546030580310474,0.030104916812020488,,37635.19516452209,141506.28374625152,0.93,False,1.4339067683050079e-05,0.16769846049537468,0.0,0.0,,MTOW_mission:diversion:diversion_climb
1193,21195.84363021234,792.4801332225281,4631917.725268466,63150.26339128131,133.6437204264874,128.61111111111114,0.3962867998951284,2,0.49538072092064056,0.030101302058532474,,37630.67623647316,140148.28273535875,0.93,False,1.4370386417149251e-05,0.16553987243866025,0.0,0.0,,MTOW_mission:diversion:diversion_climb
1194,21200.84363021234,902.5924334116314,4632576.809012449,63140.19346638828,134.3658120115788,128.61111111111114,0.398932768686218,2,0.49530172763723634,0.030097715257421442,,37626.19225265507,138810.4943231175,0.93,False,1.4401473286401364e-05,0.16341298253232725,0.0,0.0,,MTOW_mission:diversion:diversion_climb
1195,21205.84363021234,1011.8900603867509,4633239.687820887,63130.19808825895,135.08824697417253,128.61111111111114,0.40158334140373825,2,0.4952233191341253,0.03009415607499374,,37621.742795905884,137492.46485634943,0.9299999999999999,False,1.4432330337028754e-05,0.16131708369498535,0.0,0.0,,MTOW_mission:diversion:diversion_climb
1196,21210.84363021234,1120.3783028769133,4633906.359526455,63120.27640490065,135.81099258725064,128.61111111111114,0.4042383888097066,2,0.49514548872787145,0.03009062418424403,,37617.32745742496,136193.7596194425,0.93,False,1.4462959561904508e-05,0.15925149859661236,0.0,0.0,,MTOW_mission:diversion:diversion_climb
1197,21215.84363021234,1228.0623099473207,4634576.8219022155,63110.42758071085,136.53401535856523,128.61111111111114,0.4068977783411796,2,0.49506822986361093,0.03008711926453282,,37612.9458363698,134913.9619655646,0.9299999999999999,False,1.4493362903811719e-05,0.15721557829611726,0.0,0.0,,MTOW_mission:diversion:diversion_climb
1198,21220.84363021234,1334.9471006308886,4635251.072653249,63100.65079565306,137.25728107157965,128.61111111111114,0.4095613742477678,2,0.4949915361085871,0.030083641000968976,,37608.59753908414,133652.67247832014,0.93,False,1.4523542258614465e-05,0.15520870092635064,0.0,0.0,,MTOW_mission:diversion:diversion_climb
1199,21225.84363021234,1441.0375732405894,4635929.109408743,63090.94524446948,137.98075482698653,128.61111111111114,0.41222903773258845,2,0.4949154011459749,0.030080189054768135,,37604.28214204195,132409.50816297196,0.9300000000000002,False,1.4553499478341961e-05,0.1532302704833127,0.0,0.0,,MTOW_mission:diversion:diversion_climb
1200,21230.84363021234,1546.3385144007418,4636610.92971451,63081.3101359296,138.70440108498448,128.61111111111114,0.4149006270973338,2,0.49483981876898503,0.030076763103592093,,37599.999242277125,131184.10166595643,0.93,False,1.4583236374198322e-05,0.15127971551760563,0.0,0.0,,MTOW_mission:diversion:diversion_climb
1201,21235.84363021234,1650.8546076999726,4637296.531025952,63071.74469211394,139.42818370756873,128.61111111111114,0.4175759978887076,2,0.4947647828752476,0.03007336285038797,,37595.748468433594,129976.10052305028,0.93,False,1.4612754719472414e-05,0.1493564879337797,0.0,0.0,,MTOW_mission:diversion:diversion_climb
1202,21240.84363021234,1754.590442007337,4637985.9107014425,63062.24814773226,140.15206600101962,128.61111111111114,0.4202550030469024,2,0.49469028746146115,0.030069988003039047,,37591.52945532619,128785.16643495431,0.93,False,1.4642056252361432e-05,0.1474600618910767,0.0,0.0,,MTOW_mission:diversion:diversion_climb
1203,21245.84363021234,1857.5505194917482,4638679.06599613,63052.81974947521,140.87601075877646,128.61111111111114,0.4229374930568007,2,0.494616326618309,0.03006663827412308,,37587.341843638445,127610.97456914872,0.93,False,1.4671142678721355e-05,0.14558993270421863,0.0,0.0,,MTOW_mission:diversion:diversion_climb
1204,21250.84363021234,1959.739263317186,4639375.994056132,63043.45875539884,141.599980304421,128.61111111111114,0.42562331610087667,2,0.4945428945256295,0.030063313380682737,,37583.185279635625,126453.21288769992,0.93,False,1.4700015674738681e-05,0.14374561578441106,0.0,0.0,,MTOW_mission:diversion:diversion_climb
1205,21255.84363021234,2061.1610250142403,4640076.691913135,63034.164434340986,142.32393653467918,128.61111111111114,0.4283123182134461,2,0.4944699854478386,0.030060013044007863,,37579.05941489257,125311.58150040887,0.93,False,1.4728676889525603e-05,0.14192664561966675,0.0,0.0,,MTOW_mission:diversion:diversion_climb
1206,21260.84363021234,2161.8200915290436,4640781.156479382,63024.93606536881,143.04784096235238,128.61111111111114,0.431004343435922,2,0.49439759372959596,0.030056736989429393,,37574.963906036,124185.79204271594,0.93,False,1.4757127947641166e-05,0.14013257479359356,0.0,0.0,,MTOW_mission:diversion:diversion_climb
1207,21265.84363021234,2261.720691951154,4641489.384543028,63015.772937256545,143.77165475909143,128.61111111111114,0.4336992339727335,2,0.4943257137917087,0.030053484946124396,,37570.898414500785,123075.56707780044,0.93,False,1.4785370451541067e-05,0.13836297304182268,0.0,0.0,,MTOW_mission:diversion:diversion_climb
1208,21270.84363021234,2360.8670039224526,4642201.372763876,63006.67434799265,144.49533879792818,128.61111111111114,0.4363968303475724,2,0.49425434012726355,0.03005025664693191,,37566.86260629985,121980.63952233383,0.93,False,1.4813405983959248e-05,0.13661742634528404,0.0,0.0,,MTOW_mission:diversion:diversion_climb
1209,21275.84363021234,2459.2631597296195,4642917.117669468,62997.63960431552,145.21885369548275,128.61111111111114,0.43909697155963673,2,0.49418346729798696,0.030047051828179523,,37562.856151807166,120900.75209536028,0.93,False,1.4841236110224453e-05,0.1348955360595561,0.0,0.0,,MTOW_mission:diversion:diversion_climb
