Description
"Zero Fuel Weight for mission ""op_mission""_inp_data:mission:op_mission:payload"
Input defined by the mission.
Input defined by the mission.
Input defined by the mission.
"takeoff safety speed for mission ""op_mission"""
"altitude of airport for mission ""op_mission"""
"Loaded fuel before taxi-out for mission ""op_mission""_inp_data:mission:op_mission:takeoff:fuel"
Input defined by the mission.
"duration of taxi-out in mission ""op_mission"""
"thrust rate during taxi-out in mission ""op_mission"""
