Name
data:mission:sizing:landing:flap_angle
data:mission:sizing:landing:slat_angle
data:mission:sizing:takeoff:flap_angle
data:mission:sizing:takeoff:slat_angle
data:mission:sizing:main_route:cruise:altitude
