,time [s],altitude [m],ground_distance [m],mass [kg],true_airspeed [m/s],equivalent_airspeed [m/s],mach [-],engine_setting,CL [-],CD [-],drag [N],thrust [N],thrust_rate [-],thrust_is_regulated,sfc [kg/N/s],slope_angle [rad],acceleration [m/s**2],name
0,0.0,0.0,0.0,66927.05282027341,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,8.779408658373393e-06,0.0,0.0,MTOW_mission:taxi_out
1,60.0,0.0,0.0,66899.09800196718,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,8.779408658373393e-06,0.0,0.0,MTOW_mission:taxi_out
2,120.0,0.0,0.0,66871.14318366096,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,8.779408658373393e-06,0.0,0.0,MTOW_mission:taxi_out
3,180.0,0.0,0.0,66843.18836535473,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,8.779408658373393e-06,0.0,0.0,MTOW_mission:taxi_out
4,240.0,0.0,0.0,66815.2335470485,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,8.779408658373393e-06,0.0,0.0,MTOW_mission:taxi_out
5,300.0,0.0,0.0,66787.27872874227,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,8.779408658373393e-06,0.0,0.0,MTOW_mission:taxi_out
6,360.0,0.0,0.0,66759.32391043604,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,8.779408658373393e-06,0.0,0.0,MTOW_mission:taxi_out
7,420.0,0.0,0.0,66731.36909212981,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,8.779408658373393e-06,0.0,0.0,MTOW_mission:taxi_out
8,480.0,0.0,0.0,66703.41427382358,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,8.779408658373393e-06,0.0,0.0,MTOW_mission:taxi_out
9,540.0,0.0,0.0,66675.45945551735,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,8.779408658373393e-06,0.0,0.0,MTOW_mission:taxi_out
10,540.0,10.668000000000001,0.0,66593.05945551736,79.3,79.2593976814894,0.23306096703307572,2,0.0,0.0,0.0,53068.90891708,0.25,False,8.779408658373393e-06,0.0,0.0,MTOW_mission:takeoff
11,540.0,10.668000000000001,0.0,66593.05945551736,79.3,79.2593976814894,0.23306096703307572,2,1.52436261385278,0.1313903892918632,56289.18415096582,53068.90891708,0.25,False,8.779408658373393e-06,0.21030916355134793,0.0,MTOW_mission:takeoff
12,540.2,13.978969465641226,15.51054741772825,66592.62584814579,79.31260773913873,79.2593976814894,0.23310672828004816,1,1.524352688270869,0.13138893547751254,56288.56131984289,193576.18425652935,1.0,False,1.1197335784033347e-05,0.2102251010028878,0.0,MTOW_mission:main_route:initial_climb
13,540.4000000000001,17.289161260169074,31.02383914252815,66592.19234063881,79.32521546264846,79.2593976814894,0.23315249117956607,1,1.5243427649749302,0.13138748201404477,56287.93863904228,193519.7954830418,1.0,False,1.1198019187277577e-05,0.21014107576616536,0.0,MTOW_mission:main_route:initial_climb
14,540.6000000000001,20.598575523868163,46.53987502670469,66591.75893296223,79.33782316989587,79.2593976814894,0.23319825572911623,1,1.5243328439641801,0.13138602890133397,56287.316108510095,193463.43212808293,1.0,False,1.1198702400704535e-05,0.21005708781369975,0.0,MTOW_mission:main_route:initial_climb
15,540.8000000000002,23.90721239687624,62.05865492256258,66591.32562508187,79.35043086024709,79.2593976814894,0.23324402192618324,1,1.5243229252378363,0.13138457613925453,56286.69372819251,193407.0941728841,1.0,False,1.1199385424367329e-05,0.20997313711804644,0.0,MTOW_mission:main_route:initial_climb
16,541.0000000000002,27.215072019184433,77.58017868240594,66590.89241696357,79.36303853306775,79.2593976814894,0.23328978976824963,1,1.5243130087951176,0.13138312372768093,56286.07149803574,193350.78159870073,1.0,False,1.1200068258319015e-05,0.20988922365179627,0.0,MTOW_mission:main_route:initial_climb
17,541.2000000000003,30.52215453063751,93.10444615853808,66590.45930857323,79.37564618772296,79.2593976814894,0.23333555925279575,1,1.524303094635244,0.13138167166648784,56285.449417986034,193294.49438681256,1.0,False,1.1200750902612621e-05,0.20980534738757595,0.0,MTOW_mission:main_route:initial_climb
18,541.4000000000003,33.82846007093415,108.63145720326114,66590.02629987674,79.38825382357739,79.2593976814894,0.2333813303773,1,1.5242931827574318,0.1313802199555494,56284.827487989605,193238.23251852367,1.0,False,1.1201433357301116e-05,0.2097215082980483,0.0,MTOW_mission:main_route:initial_climb
19,541.6000000000004,37.1339887796272,124.16121166887588,66589.59339084002,79.40086143999514,79.2593976814894,0.23342710313923853,1,1.524283273160904,0.13137876859474074,56284.20570799283,193181.9959751619,1.0,False,1.1202115622437433e-05,0.20963770635591106,0.0,MTOW_mission:main_route:initial_climb
20,541.8000000000004,40.43874079612394,139.69370940768138,66589.160581429,79.41346903633983,79.2593976814894,0.2334728775360854,1,1.524273365844879,0.13137731758393642,56283.58407794203,193125.78473807962,1.0,False,1.1202797698074456e-05,0.2095539415338981,0.0,MTOW_mission:main_route:initial_climb
21,542.0000000000005,43.742716259686325,155.22895027197475,66588.72787160965,79.42607661197458,79.2593976814894,0.23351865356531254,1,1.524263460808579,0.13137586692301137,56282.96259778361,193069.5987886532,1.0,False,1.1203479584265027e-05,0.209470213804779,0.0,MTOW_mission:main_route:initial_climb
22,542.2000000000005,47.04591530943129,170.76693411405088,66588.29526134797,79.438684166262,79.2593976814894,0.23356443122438986,1,1.5242535580512249,0.13137441661184052,56282.341267464,193013.43810828315,1.0,False,1.1204161281061956e-05,0.20938652314135853,0.0,MTOW_mission:main_route:initial_climb
23,542.4000000000005,50.348338084330955,186.30766078620215,66587.86275060997,79.45129169856425,79.2593976814894,0.2336102105107852,1,1.5242436575720375,0.1313729666502987,56281.7200869296,192957.3026783937,1.0,False,1.1204842788517992e-05,0.20930286951647678,0.0,MTOW_mission:main_route:initial_climb
