,time [s],altitude [m],isa_offset,ground_distance [m],mass [kg],consumed_fuel [kg],true_airspeed [m/s],equivalent_airspeed [m/s],mach [-],engine_setting,CL [-],CD [-],lift [N],drag [N],thrust [N],thrust_rate [-],thrust_is_regulated,sfc [kg/N/s],slope_angle [rad],acceleration [m/s**2],alpha [rad],slope_angle_derivative [rad/s],name
0,0.0,0.0,0.0,0.0,113837.83873565836,0.0,0.0,0.0,0.0,2,0.0,0.0,,0.0,63502.78413057599,0.3,False,9.353667273066347e-06,0.0,0.0,0.0,,sizing:taxi_out
1,60.0,0.0,0.0,0.0,113802.19970083811,35.63903482024594,0.0,0.0,0.0,2,0.0,0.0,,0.0,63502.78413057599,0.3,False,9.353667273066347e-06,0.0,0.0,0.0,,sizing:taxi_out
2,120.0,0.0,0.0,0.0,113766.56066601787,71.27806964049188,0.0,0.0,0.0,2,0.0,0.0,,0.0,63502.78413057599,0.3,False,9.353667273066347e-06,0.0,0.0,0.0,,sizing:taxi_out
3,180.0,0.0,0.0,0.0,113730.92163119763,106.91710446073782,0.0,0.0,0.0,2,0.0,0.0,,0.0,63502.78413057599,0.3,False,9.353667273066347e-06,0.0,0.0,0.0,,sizing:taxi_out
4,240.0,0.0,0.0,0.0,113695.2825963774,142.55613928098376,0.0,0.0,0.0,2,0.0,0.0,,0.0,63502.78413057599,0.3,False,9.353667273066347e-06,0.0,0.0,0.0,,sizing:taxi_out
5,300.0,0.0,0.0,0.0,113659.64356155715,178.1951741012297,0.0,0.0,0.0,2,0.0,0.0,,0.0,63502.78413057599,0.3,False,9.353667273066347e-06,0.0,0.0,0.0,,sizing:taxi_out
6,300.0,10.668000000000001,0.0,0.0,113577.24356155716,260.595174101225,79.3,79.2593976814894,0.23306096703307572,2,0.0,0.0,,0.0,63502.78413057599,0.3,False,9.353667273066347e-06,0.0,0.0,0.0,,sizing:takeoff
7,300.0,10.668000000000001,0.0,0.0,113577.24356155716,260.595174101225,79.3,79.2593976814894,0.23306096703307572,2,0.0,0.0,,0.0,63502.78413057599,0.3,False,9.353667273066347e-06,0.0,0.0,0.0,,sizing:takeoff
8,300.0,10668.0,0.0,250000.0,110169.92625471044,3667.91248094794,222.40239239916536,123.80352173708312,0.75,2,0.6927217992276633,0.04352538830538764,,67884.01706462905,63502.78413057599,0.3,True,9.353667273066347e-06,0.0,0.0,0.0,,sizing:main_route:climb
9,23033.56840031445,10668.0,0.0,5306000.0,88572.38061351037,25265.45812214802,222.40239239916536,123.80352173708312,0.75,3,0.5569216658874269,0.03162477837072219,,49323.3277902194,49323.3277902194,0.9003378589549148,True,1.6436994180457722e-05,0.0,0.0,0.0,,sizing:main_route:cruise
10,23033.56840031445,0.0,0.0,5556000.0,86800.93300124016,27036.905734418222,0.0,0.0,0.0,3,0.5569216658874269,0.03162477837072219,,49323.3277902194,49323.3277902194,0.9003378589549148,True,1.6436994180457722e-05,0.0,0.0,0.0,,sizing:main_route:descent
11,23033.56840031445,0.0,0.0,5556000.0,86800.93300124016,27036.905734418222,0.0,0.0,0.0,3,0.5569216658874269,0.03162477837072219,,49323.3277902194,49323.3277902194,0.9003378589549148,True,1.6436994180457722e-05,0.0,0.0,0.0,,sizing:global_reserve
12,23033.56840031445,0.0,0.0,5556000.0,81887.67264267939,31950.166092978994,0.0,0.0,0.0,3,0.5569216658874269,0.03162477837072219,,49323.3277902194,49323.3277902194,0.9003378589549148,True,1.6436994180457722e-05,0.0,0.0,0.0,,sizing:global_reserve
