Name
data:mission:MTOW_mission:diversion:distance
data:mission:MTOW_mission:holding:duration
data:mission:MTOW_mission:main_route:range
data:mission:MTOW_mission:takeoff:V2
data:mission:MTOW_mission:takeoff:fuel
