Name
data:geometry:wing:aspect_ratio
data:geometry:wing:sweep_25
data:geometry:wing:virtual_taper_ratio
data:geometry:wing:kink:span_ratio
data:geometry:wing:spar_ratio:front:kink
data:geometry:wing:spar_ratio:front:root
data:geometry:wing:spar_ratio:front:tip
data:geometry:wing:spar_ratio:rear:kink
data:geometry:wing:spar_ratio:rear:root
data:geometry:wing:spar_ratio:rear:tip
