Name
data:geometry:cabin:aisle_width
data:geometry:cabin:exit_width
data:geometry:cabin:containers:count_by_row
data:geometry:cabin:crew_count:technical
data:geometry:cabin:seats:economical:count_by_row
data:geometry:cabin:seats:economical:length
data:geometry:cabin:seats:economical:width
